AUD,19000626,2.7516,2.7516,2.7516,2.7516,0
BGN,19000626,2.2176,2.2176,2.2176,2.2176,0
CAD,20170706,2.8341,2.8341,2.8341,2.8341,0
CHF,20180506,3.7507,3.7507,3.7507,3.7507,0
AUD,20180626,2.7516,2.7516,2.7516,2.7516,0
BGN,20180626,2.2176,2.2176,2.2176,2.2176,0
BGN,20180627,2.2206,2.2206,2.2206,2.2206,0
UAH,20180628,0.1433,0.1433,0.1433,0.1433,0
USD,20180628,3.7705,3.7705,3.7705,3.7705,0
XDR,20180628,5.2821,5.2821,5.2821,5.2821,0
ZAR,20180628,0.2727,0.2727,0.2727,0.2727,0
AUD,20180629,2.7674,2.7674,2.7674,2.7674,0
BGN,20180629,2.2300,2.2300,2.2300,2.2300,0
XDR,20180629,5.2903,5.2903,5.2903,5.2903,0
ZAR,20180629,0.2728,0.2728,0.2728,0.2728,0
AUD,20180702,2.7810,2.7810,2.7810,2.7810,0
BGN,20180702,2.2446,2.2446,2.2446,2.2446,0
AUD,20180703,2.7886,2.7886,2.7886,2.7886,0
BGN,20180703,2.2486,2.2486,2.2486,2.2486,0
BGN,20180706,2.2293,2.2293,2.2293,2.2293,0
BRL,20180706,0.9465,0.9465,0.9465,0.9465,0
USD,20180706,3.7222,3.7222,3.7222,3.7222,0
XDR,20180706,5.2461,5.2461,5.2461,5.2461,0
ZAR,20180706,0.2742,0.2742,0.2742,0.2742,0
AUD,20180709,2.7586,2.7586,2.7586,2.7586,0
BGN,20180810,2.2486,2.2486,2.2486,2.2486,0
BRL,20190911,0.9636,0.9636,0.9636,0.9636,0
